time, Quad.GPS.X
0.105000,-0.372314
0.205000,0.640126
0.305000,-0.736446
0.404998,0.869438
0.504997,0.179932
0.604996,-0.946045
0.704994,0.886866
0.804993,-0.260511
0.904992,-0.450818
1.004991,-1.571871
1.104996,-0.470759
1.205000,-0.521657
1.305005,0.253848
1.405010,0.472439
1.505014,-0.728408
1.605019,-0.304882
1.705024,0.690284
1.805028,0.976044
1.905033,-0.721017
2.005037,0.025134
2.105030,-0.246835
2.205023,0.657784
2.305015,0.154131
2.405008,0.267846
2.505001,-1.341281
2.604994,-0.122809
2.704986,-0.281957
2.804979,-0.170741
2.904972,-0.306415
3.004965,0.505625
3.104957,-1.533092
3.204950,0.509518
3.304943,-0.526652
3.404936,0.040225
3.504928,0.416028
