time, Quad.IMU.AX
0.005000,0.552104
0.010000,0.073950
0.015000,0.523507
0.020000,-0.426132
0.025000,0.917109
0.030000,-0.295104
0.035000,0.184557
0.040000,-0.566909
0.045000,0.313276
0.050000,-1.081553
0.055000,0.006145
0.060000,0.417405
0.065000,-0.790848
0.070000,0.987255
0.075000,0.615346
0.080000,0.198673
0.085000,0.523889
0.090000,0.800422
0.095000,0.003965
0.100000,0.882318
0.105000,1.107366
0.110000,0.372476
0.115000,0.113327
0.120000,-0.084344
0.125000,-0.040263
0.130000,-0.948417
0.135000,-0.011520
0.140000,0.118659
0.145000,0.456632
0.150000,0.286810
0.155000,-0.587041
0.160000,0.454354
0.165000,-0.072881
0.170000,0.309625
0.175000,0.868333
0.180000,0.041985
0.185000,-0.673895
0.190000,-0.707898
0.195000,-0.053840
0.200000,0.663943
0.205000,-0.695836
0.210000,-0.532063
0.215000,0.120727
0.220000,-0.781324
0.225000,-0.225934
0.230000,0.038196
0.235000,-0.343638
0.240000,-0.296303
0.245000,-0.582451
0.250000,-0.126985
0.255000,-0.732446
0.260000,0.151463
0.265000,-0.308095
0.270000,-0.445241
0.275000,-0.539147
0.280000,0.059965
0.285000,0.226509
0.290000,-0.543488
0.295000,-0.304822
0.300000,-0.049839
0.305000,-0.329002
0.310000,0.584799
0.314999,-0.033509
0.319999,0.518798
0.324999,0.508816
0.329999,0.583913
0.334999,-0.121833
0.339999,-0.280389
0.344999,-0.055528
0.349999,-0.637523
0.354999,-0.221029
0.359999,0.099369
0.364999,0.469021
0.369999,1.117932
0.374999,0.212293
0.379999,-0.234126
0.384999,-0.691247
0.389999,0.219060
0.394998,0.102865
0.399998,-0.094817
0.404998,-0.903831
0.409998,0.158870
0.414998,-0.305141
0.419998,0.359288
0.424998,0.019560
0.429998,-0.620898
0.434998,-0.399006
0.439998,-0.287508
0.444998,-0.016152
0.449998,-1.054839
0.454998,-1.278392
0.459998,-0.021431
0.464998,0.301757
0.469997,-0.619896
0.474997,-0.561109
0.479997,0.833306
0.484997,0.139079
0.489997,-0.673236
0.494997,-0.171996
0.499997,-0.320942
0.504997,0.285423
0.509997,-0.416178
0.514997,0.204425
0.519997,-0.108881
0.524997,0.017213
0.529997,-0.620478
0.534997,0.119017
0.539997,0.418425
0.544997,0.234172
0.549996,-0.573014
0.554996,0.104272
0.559996,-0.445130
0.564996,0.440449
0.569996,-0.829729
0.574996,-0.000582
0.579996,-0.030516
0.584996,-0.014683
0.589996,0.408561
0.594996,0.479398
0.599996,-0.928518
0.604996,0.101968
0.609996,-0.258988
0.614996,0.147094
0.619996,0.400929
0.624996,-0.216157
0.629995,0.551012
0.634995,0.141981
0.639995,-1.012067
0.644995,-0.046653
0.649995,0.365931
0.654995,0.685571
0.659995,-0.014766
0.664995,0.647552
0.669995,0.125723
0.674995,0.263910
0.679995,-0.529204
0.684995,0.133125
0.689995,0.103225
0.694995,0.668425
0.699995,0.668444
0.704994,-0.131393
0.709994,0.724941
0.714994,-0.153416
0.719994,0.080999
0.724994,0.855582
0.729994,0.142811
0.734994,0.727781
0.739994,-0.571464
0.744994,0.734769
0.749994,0.067731
0.754994,-0.097430
0.759994,0.348770
0.764994,0.504717
0.769994,-0.384145
0.774994,0.805315
0.779994,-0.030168
0.784993,-0.077407
0.789993,0.578917
0.794993,-0.913597
0.799993,-0.110040
0.804993,0.141860
0.809993,-0.402480
0.814993,-0.258046
0.819993,-0.211681
0.824993,0.406318
0.829993,0.011371
0.834993,0.250221
0.839993,-0.005486
0.844993,0.567985
0.849993,-0.149870
0.854993,-0.176179
0.859993,-0.417507
0.864992,-0.241637
0.869992,-0.546238
0.874992,0.034951
0.879992,-0.169863
0.884992,-0.469173
0.889992,-0.747533
0.894992,-0.775240
0.899992,0.399071
0.904992,-0.089825
0.909992,0.120889
0.914992,-0.399614
0.919992,-0.440633
0.924992,-0.326683
0.929992,0.406526
0.934992,-0.510062
0.939991,0.238790
0.944991,-0.299451
0.949991,1.192725
0.954991,-0.718747
0.959991,0.425058
0.964991,1.135755
0.969991,-0.780143
0.974991,0.921792
0.979991,-0.721117
0.984991,0.148309
0.989991,0.610738
0.994991,-0.622081
0.999991,0.237668
1.004991,0.150171
1.009991,0.008879
1.014991,0.946120
1.019992,0.620857
1.024992,-0.071479
1.029992,-0.658714
1.034992,0.037115
1.039993,0.021891
1.044993,-0.017041
1.049993,0.750053
1.054993,-0.032670
1.059994,-0.112689
1.064994,-0.011305
1.069994,-0.238030
1.074994,-0.115101
1.079994,0.618820
1.084995,0.183012
1.089995,-0.060687
1.094995,-0.030635
1.099995,0.533063
1.104996,-0.064371
1.109996,0.584551
1.114996,-0.190365
1.119996,-0.054039
1.124997,-0.285472
1.129997,-0.740375
1.134997,0.411261
1.139997,0.204694
1.144997,-0.287156
1.149998,1.059512
1.154998,0.412258
1.159998,0.014654
1.164998,-0.364114
1.169999,-0.124344
1.174999,0.453822
1.179999,0.252537
1.184999,-0.475634
1.190000,-0.449088
1.195000,-0.056402
1.200000,-0.190402
1.205000,0.044109
1.210001,0.063130
1.215001,-0.237728
1.220001,-0.868372
1.225001,0.663942
1.230001,-0.034089
1.235002,-0.520374
1.240002,-0.595101
1.245002,-0.303813
1.250002,-1.087162
1.255003,0.195352
1.260003,0.858322
1.265003,-0.412721
1.270003,-0.107823
1.275004,0.460440
1.280004,0.396876
1.285004,0.245006
1.290004,-0.945925
1.295004,0.062172
1.300005,0.190825
1.305005,0.014668
1.310005,-0.576189
1.315005,0.002500
1.320006,-0.216975
1.325006,0.313247
1.330006,-0.041733
1.335006,-0.321906
1.340007,0.172219
1.345007,-0.496340
1.350007,0.047935
1.355007,-0.812859
1.360008,-0.316847
1.365008,-0.249888
1.370008,-0.378985
1.375008,1.120131
1.380008,-0.665204
1.385009,0.125893
1.390009,-0.224352
1.395009,0.092537
1.400009,-0.099481
1.405010,1.083521
1.410010,-0.234226
1.415010,-0.444739
1.420010,0.382193
1.425011,-0.435719
1.430011,0.832124
1.435011,-0.109292
1.440011,-0.191489
1.445011,0.449022
1.450012,-0.042177
1.455012,-0.688981
1.460012,-0.245241
1.465012,0.194358
1.470013,0.186484
1.475013,0.667289
1.480013,-0.864328
1.485013,-0.456424
1.490014,0.434499
1.495014,0.571380
1.500014,0.154978
1.505014,0.073132
1.510015,0.472579
1.515015,-0.039188
1.520015,0.191222
1.525015,0.531703
1.530015,0.220879
1.535016,-0.830766
1.540016,0.031202
1.545016,-0.165103
1.550016,0.392504
1.555017,0.225561
1.560017,0.566644
1.565017,0.694450
1.570017,0.432074
1.575018,-0.845623
1.580018,-0.135869
1.585018,-0.580243
1.590018,0.018979
1.595019,-0.085042
1.600019,-0.689579
1.605019,0.102155
1.610019,0.106310
1.615019,0.205104
1.620020,-0.990977
1.625020,-0.042770
1.630020,-0.356121
1.635020,0.727277
1.640021,0.537508
1.645021,-0.160162
1.650021,-0.480987
1.655021,-0.123543
1.660022,0.272928
1.665022,0.512433
1.670022,0.795021
1.675022,0.732166
1.680022,0.782751
1.685023,0.564167
1.690023,0.722212
1.695023,0.061545
1.700023,0.119596
1.705024,-0.613623
1.710024,0.266541
1.715024,-0.066629
1.720024,-0.792804
1.725025,-0.104108
1.730025,-0.712717
1.735025,0.075189
1.740025,-0.024113
1.745026,0.345741
1.750026,0.108888
1.755026,-0.373813
1.760026,0.182080
1.765026,-0.055100
1.770027,0.245114
1.775027,-0.689972
1.780027,0.019445
1.785027,0.173797
1.790028,0.270908
1.795028,-0.204441
1.800028,0.462720
1.805028,-0.552821
1.810029,0.043864
